Crystal angle	Rate at 18kV
theta/�	R(18kV)/Imp/s

3.0	71.0
3.1	54.0
3.2	44.0
3.3	33.0
3.4	27.0
3.5	17.0
3.6	9.0
3.7	5.0
3.8	3.0
3.9	3.0
4.0	3.0
4.1	1.0
4.2	2.0
4.3	2.0
4.4	2.0
4.5	1.0
4.6	2.0
4.7	2.0
4.8	3.0
4.9	1.0
5.0	2.0
5.1	2.0
5.2	3.0
5.3	2.0
5.4	2.0
5.5	2.0
5.6	1.0
5.7	2.0
5.8	2.0
5.9	1.0
6.0	1.0
6.1	1.0
6.2	1.0
6.3	1.0
6.4	1.0
6.5	1.0
6.6	1.0
6.7	2.0
6.8	1.0
6.9	0.0
7.0	2.0
7.1	2.0
7.2	3.0
7.3	5.0
7.4	5.0
7.5	6.0
7.6	11.0
7.7	18.0
7.8	19.0
7.9	16.0
8.0	23.0
8.1	30.0
8.2	30.0
8.3	36.0
8.4	35.0
8.5	42.0
8.6	41.0
8.7	45.0
8.8	52.0
8.9	45.0
9.0	47.0
9.1	49.0
9.2	50.0
9.3	51.0
9.4	52.0
9.5	56.0
9.6	54.0
9.7	54.0
9.8	54.0
9.9	47.0
10.0	48.0
10.1	54.0
10.2	48.0
10.3	48.0
10.4	42.0
10.5	45.0
10.6	48.0
10.7	50.0
10.8	48.0
10.9	41.0
11.0	47.0
11.1	51.0
11.2	49.0
11.3	44.0
11.4	48.0
11.5	48.0
11.6	45.0
11.7	49.0
11.8	44.0
11.9	48.0
12.0	42.0
12.1	46.0
12.2	43.0
12.3	39.0
12.4	39.0
12.5	44.0
12.6	35.0
12.7	40.0
12.8	35.0
12.9	37.0
13.0	35.0
13.1	36.0
13.2	38.0
13.3	36.0
13.4	41.0
13.5	37.0
13.6	36.0
13.7	35.0
13.8	34.0
13.9	32.0
14.0	31.0
14.1	26.0
14.2	26.0
