Crystal angle	Rate at 30kV
theta/�	R(30kV)/Imp/s

3.0	421.0
3.1	382.0
3.2	263.0
3.3	208.0
3.4	140.0
3.5	101.0
3.6	77.0
3.7	50.0
3.8	47.0
3.9	44.0
4.0	37.0
4.1	33.0
4.2	34.0
4.3	33.0
4.4	29.0
4.5	33.0
4.6	30.0
4.7	38.0
4.8	34.0
4.9	40.0
5.0	52.0
5.1	52.0
5.2	64.0
5.3	67.0
5.4	74.0
5.5	78.0
5.6	86.0
5.7	85.0
5.8	80.0
5.9	83.0
6.0	85.0
6.1	98.0
6.2	100.0
6.3	117.0
6.4	113.0
6.5	125.0
6.6	135.0
6.7	144.0
6.8	146.0
6.9	187.0
7.0	187.0
7.1	204.0
7.2	270.0
7.3	313.0
7.4	355.0
7.5	360.0
7.6	403.0
7.7	557.0
7.8	450.0
7.9	184.0
8.0	156.0
8.1	173.0
8.2	158.0
8.3	153.0
8.4	167.0
8.5	178.0
8.6	170.0
8.7	176.0
8.8	181.0
8.9	172.0
9.0	169.0
9.1	177.0
9.2	168.0
9.3	176.0
9.4	173.0
9.5	193.0
9.6	179.0
9.7	179.0
9.8	183.0
9.9	172.0
10.0	167.0
10.1	161.0
10.2	157.0
10.3	156.0
10.4	154.0
10.5	143.0
10.6	145.0
10.7	156.0
10.8	149.0
10.9	153.0
11.0	150.0
11.1	163.0
11.2	159.0
11.3	146.0
11.4	152.0
11.5	147.0
11.6	138.0
11.7	134.0
11.8	128.0
11.9	128.0
12.0	132.0
12.1	135.0
12.2	131.0
12.3	127.0
12.4	129.0
12.5	129.0
12.6	122.0
12.7	127.0
12.8	124.0
12.9	121.0
13.0	129.0
13.1	147.0
13.2	145.0
13.3	166.0
13.4	205.0
13.5	175.0
13.6	140.0
13.7	125.0
13.8	117.0
13.9	118.0
14.0	121.0
14.1	111.0
14.2	118.0
14.3	113.0
14.4	118.0
14.5	125.0
14.6	119.0
14.7	129.0
14.8	138.0
14.9	260.0
15.0	437.0
15.1	464.0
15.2	260.0
15.3	142.0
15.4	111.0
15.5	110.0
15.6	98.0
15.7	93.0
15.8	86.0
