Crystal angle	Rate at 35kV
theta/�	R(35kV)/Imp/s

3.0	997.0
3.1	777.0
3.2	528.0
3.3	371.0
3.4	268.0
3.5	204.0
3.6	156.0
3.7	138.0
3.8	121.0
3.9	105.0
4.0	109.0
4.1	99.0
4.2	100.0
4.3	98.0
4.4	109.0
4.5	119.0
4.6	136.0
4.7	143.0
4.8	144.0
4.9	157.0
5.0	160.0
5.1	170.0
5.2	166.0
5.3	168.0
5.4	159.0
5.5	157.0
5.6	166.0
5.7	158.0
5.8	143.0
5.9	154.0
6.0	144.0
6.1	151.0
6.2	149.0
6.3	170.0
6.4	190.0
6.5	213.0
6.6	227.0
6.7	217.0
6.8	242.0
6.9	287.0
7.0	308.0
7.1	337.0
7.2	437.0
7.3	532.0
7.4	635.0
7.5	654.0
7.6	699.0
7.7	1001.0
7.8	1014.0
7.9	333.0
8.0	229.0
8.1	247.0
8.2	235.0
8.3	245.0
8.4	247.0
8.5	254.0
8.6	242.0
8.7	259.0
8.8	258.0
8.9	250.0
9.0	259.0
9.1	256.0
9.2	261.0
9.3	279.0
9.4	272.0
9.5	272.0
9.6	278.0
9.7	261.0
9.8	259.0
9.9	243.0
10.0	244.0
10.1	232.0
10.2	226.0
10.3	220.0
10.4	223.0
10.5	220.0
10.6	211.0
10.7	215.0
10.8	210.0
10.9	207.0
11.0	206.0
11.1	215.0
11.2	205.0
11.3	203.0
11.4	197.0
11.5	199.0
11.6	190.0
11.7	194.0
11.8	198.0
11.9	181.0
12.0	193.0
12.1	179.0
12.2	180.0
12.3	186.0
12.4	179.0
12.5	184.0
12.6	172.0
12.7	177.0
12.8	174.0
12.9	169.0
13.0	183.0
13.1	197.0
13.2	216.0
13.3	266.0
13.4	326.0
13.5	293.0
13.6	203.0
13.7	175.0
13.8	176.0
13.9	163.0
14.0	152.0
14.1	160.0
14.2	154.0
14.3	167.0
14.4	172.0
14.5	164.0
14.6	175.0
14.7	195.0
14.8	205.0
14.9	379.0
15.0	771.0
15.1	841.0
15.2	503.0
15.3	237.0
15.4	172.0
15.5	133.0
15.6	130.0
15.7	122.0
15.8	117.0
15.9	109.0
16.0	109.0
16.1	121.0
16.2	114.0
16.3	108.0
16.4	117.0
16.5	106.0
16.6	104.0
16.7	96.0
16.8	101.0
16.9	91.0
17.0	97.0
17.1	85.0
17.2	89.0
17.3	81.0
17.4	78.0
17.5	85.0
17.6	79.0
17.7	88.0
17.8	79.0
17.9	74.0
18.0	86.0
18.1	77.0
18.2	76.0
18.3	78.0
18.4	77.0
18.5	74.0
18.6	73.0
18.7	70.0
18.8	78.0
18.9	62.0
19.0	63.0
19.1	69.0
19.2	76.0
19.3	61.0
19.4	73.0
19.5	67.0
19.6	54.0
19.7	66.0
19.8	73.0
19.9	66.0
20.0	78.0
20.1	102.0
20.2	80.0
20.3	61.0
20.4	56.0
20.5	59.0
20.6	56.0
20.7	56.0
20.8	56.0
20.9	49.0
21.0	54.0
21.1	52.0
21.2	41.0
21.3	42.0
21.4	47.0
21.5	49.0
21.6	43.0
21.7	51.0
21.8	48.0
21.9	53.0
22.0	52.0
22.1	45.0
22.2	55.0
22.3	56.0
22.4	66.0
22.5	96.0
22.6	185.0
22.7	202.0
22.8	165.0
22.9	83.0
23.0	58.0
23.1	51.0
23.2	46.0
23.3	46.0
23.4	41.0
23.5	39.0
23.6	38.0
23.7	41.0
23.8	38.0
23.9	40.0
24.0	39.0
24.1	37.0
24.2	36.0
24.3	34.0
24.4	42.0
24.5	34.0
24.6	36.0
24.7	34.0
24.8	36.0
24.9	33.0
25.0	33.0
25.1	33.0
25.2	33.0
25.3	39.0
25.4	34.0
25.5	35.0
25.6	30.0
25.7	37.0
25.8	29.0
25.9	30.0
26.0	33.0
26.1	28.0
26.2	27.0
26.3	30.0
26.4	28.0
26.5	30.0
26.6	32.0
26.7	29.0
26.8	32.0
26.9	36.0
27.0	32.0
27.1	38.0
27.2	30.0
27.3	30.0
27.4	29.0
27.5	27.0
27.6	31.0
27.7	30.0
27.8	28.0
27.9	32.0
28.0	28.0
28.1	26.0
28.2	22.0
28.3	27.0
28.4	28.0
28.5	27.0
28.6	26.0
28.7	23.0
28.8	21.0
28.9	25.0
29.0	28.0
29.1	27.0
29.2	28.0
29.3	27.0
29.4	25.0
29.5	22.0
29.6	27.0
29.7	23.0
29.8	29.0
29.9	27.0
30.0	23.0
30.1	27.0
30.2	25.0
30.3	20.0
30.4	29.0
30.5	32.0
30.6	46.0
30.7	53.0
30.8	45.0
30.9	38.0
31.0	32.0
31.1	24.0
31.2	22.0
31.3	27.0
31.4	20.0
31.5	19.0
31.6	19.0
31.7	21.0
31.8	18.0
31.9	19.0
32.0	19.0
32.1	21.0
32.2	18.0
32.3	22.0
32.4	20.0
32.5	14.0
32.6	17.0
32.7	21.0
32.8	18.0
32.9	17.0
33.0	18.0
33.1	16.0
33.2	18.0
33.3	18.0
33.4	18.0
33.5	14.0
33.6	17.0
33.7	16.0
33.8	14.0
33.9	16.0
34.0	18.0
34.1	15.0
34.2	15.0
34.3	14.0
34.4	16.0
34.5	16.0
34.6	16.0
34.7	16.0
34.8	16.0
34.9	18.0
35.0	15.0
35.1	14.0
35.2	15.0
35.3	14.0
35.4	15.0
35.5	14.0
35.6	13.0
35.7	13.0
35.8	14.0
35.9	15.0
36.0	12.0
36.1	15.0
36.2	12.0
36.3	17.0
36.4	14.0
36.5	15.0
36.6	14.0
36.7	14.0
36.8	13.0
36.9	17.0
37.0	12.0
37.1	13.0
37.2	13.0
37.3	12.0
37.4	14.0
37.5	10.0
37.6	14.0
37.7	14.0
37.8	11.0
37.9	15.0
38.0	12.0
38.1	13.0
38.2	10.0
38.3	11.0
38.4	11.0
38.5	11.0
38.6	13.0
38.7	16.0
38.8	12.0
38.9	12.0
39.0	11.0
39.1	15.0
39.2	13.0
39.3	16.0
39.4	17.0
39.5	15.0
39.6	15.0
39.7	14.0
39.8	11.0
39.9	13.0
40.0	11.0
40.1	12.0
40.2	11.0
40.3	15.0
40.4	11.0
40.5	11.0
40.6	11.0
40.7	15.0
40.8	12.0
40.9	13.0
41.0	12.0
41.1	10.0
41.2	10.0
41.3	13.0
41.4	11.0
41.5	13.0
41.6	11.0
41.7	12.0
41.8	11.0
41.9	9.0
42.0	9.0
42.1	9.0
42.2	9.0
42.3	9.0
42.4	11.0
42.5	12.0
42.6	9.0
42.7	10.0
42.8	10.0
42.9	8.0
43.0	10.0
43.1	9.0
43.2	9.0
43.3	10.0
43.4	11.0
43.5	10.0
43.6	10.0
43.7	10.0
43.8	9.0
43.9	11.0
44.0	9.0
44.1	9.0
44.2	8.0
44.3	10.0
44.4	9.0
44.5	9.0
44.6	10.0
44.7	8.0
44.8	9.0
44.9	10.0
45.0	8.0
